STAKE NO,DATE,SNOWDEPTH,COREDEPTH,TUBE+CORE,EMPTYTUBE,SNOW,SNOW,FROST,FROST,1/2 WAY MEAS,NOTES
S20,12/30/2022,47,31,,,,,,,,
S15,12/30/2022,44,,,,,,,,,
S05,12/30/2022,25,,,,,,,,,
S04,12/30/2022,23.5,,,,,,,,,
S03,12/30/2022,32,,,,,,,,,
S02,12/30/2022,24,23,,,,,,,,
S01,12/30/2022,24,,,,,,,,,
S00,12/30/2022,,,,,,,,,,
S11,12/30/2022,26,,,,,,,,,
S21,12/30/2022,,,,,,,,,,
S12,12/30/2022,22.5,,,,,,,,,
S22,12/30/2022,29,,,,,,,,,
S32,12/30/2022,26,,,,,,,,,
S33,12/30/2022,32,,,,,,,,,
S23,12/30/2022,34,,,,,,,,,
S13,12/30/2022,,,,,,,,,,
S14,12/30/2022,32,,,,,,,,,
S24,12/30/2022,31,,,,,,,,,
S34,12/30/2022,46,,,,,,,,,
S44,12/30/2022,27.5,,,,,,,,,
S43,12/30/2022,36.5,,,,,,,,,
S54,12/30/2022,24.5,,,,,,,,,
S55,12/30/2022,24,,,,,,,,,
S45,12/30/2022,33,,,,,,,,,
S46,12/30/2022,35,,,,,,,,,
S36,12/30/2022,29,,,,,,,,,
S26,12/30/2022,35,,,,,,,,,
S25,12/30/2022,34,,,,,,,,,
S35,12/30/2022,37,,,,,,,,,
S601,12/22/2023,15,14,,,,,,,18,
S602,12/22/2023,29,24,,,,,,,20,
S603,12/22/2023,18,12,,,,,,,,
S613,12/22/2023,26,10,,,,,,,,
S614,12/22/2023,22,17,,,,,,,19,
S624,12/22/2023,31,19,,,,,,,,
S625,12/22/2023,32,26,,,,,,,,
S635,12/22/2023,39,20,,,,,,,,
S636,12/22/2023,32,27,,,,,,,,
S646,12/22/2023,28,22.5,,,,,,,,
S645,12/22/2023,33,18,,,,,,,,
S655,12/22/2023,31,20,,,,,,,,
S654,12/22/2023,38,30,,,,,,,,
S644,12/22/2023,28,17,,,,,,,,
S633,12/22/2023,21,17,,,,,,,,
S643,12/22/2023,24,14,,,,,,,25,
S642,12/22/2023,35,28,,,,,,,25,
S632,12/22/2023,19,14,,,,,,,,
S622,12/22/2023,19,14,,,,,,,,
S631,12/22/2023,18,15,,,,,,,,
S621,12/22/2023,21,11,,,,,,,,
S611,12/22/2023,27,22,,,,,,,,
S612,12/22/2023,41,20,,,,,,,,
S623,12/22/2023,40,26,,,,,,,,
S634,12/22/2023,34,10,,,,,,,,
S20,1/5/2023,33.5,29,,,,,,,,
S15,1/5/2023,41.5,330,,,,,0,0,,
S05,1/5/2023,34,19,,,,,0,0,,
S04,1/5/2023,21,13,,,,,,,,
S03,1/5/2023,45,17,,,,,,,,
S02,1/5/2023,25,13,,,,,,,,
S01,1/5/2023,31,18,,,,,,,,
S00,1/5/2023,33.5,12,,,,,,,,
S11,1/5/2023,34,26,,,,,,,,
S21,1/5/2023,27,18,,,,,,,,
S12,1/5/2023,27.5,21,,,,,,,,
S22,1/5/2023,41,34,,,,,,,,
