SITE,DATE,SWE_cm
S655,2/17/2023,6.604
S654,2/17/2023,10.668
S644,2/17/2023,7.366
S633,2/17/2023,5.842
S643,2/17/2023,6.858
S642,2/17/2023,8.128
S632,2/17/2023,6.096
S622,2/17/2023,4.064
S631,2/17/2023,5.08
S621,2/17/2023,5.842
S611,2/17/2023,6.096
S612,2/17/2023,9.144
S623,2/17/2023,12.7
S634,2/17/2023,11.43
S220,2/24/2023,8.128
S215,2/24/2023,10.922
S205,2/24/2023,10.414
S204,2/24/2023,5.842
S203,2/24/2023,9.652
S202,2/24/2023,7.112
S201,2/24/2023,9.398
S200,2/24/2023,10.414
S211,2/24/2023,11.176
S221,2/24/2023,8.636
S212,2/24/2023,9.652
S222,2/24/2023,11.684
S232,2/24/2023,11.176
S233,2/24/2023,9.652
S223,2/24/2023,9.398
S213,2/24/2023,9.652
S214,2/24/2023,5.588
S224,2/24/2023,9.906
S234,2/24/2023,10.414
S244,2/24/2023,10.922
S243,2/24/2023,9.144
S254,2/24/2023,8.382
S255,2/24/2023,8.636
S245,2/24/2023,10.668
S246,2/24/2023,10.414
S236,2/24/2023,8.89
S226,2/24/2023,10.922
S225,2/24/2023,13.208
S235,2/24/2023,12.954
S601,2/24/2023,5.334
S602,2/24/2023,6.096
S603,2/24/2023,4.826
S613,2/24/2023,8.382
S614,2/24/2023,5.588
S624,2/24/2023,8.128
S625,2/24/2023,5.334
S635,2/24/2023,10.16
S636,2/24/2023,5.842
S646,2/24/2023,8.382
S645,2/24/2023,10.922
S655,2/24/2023,6.604
S654,2/24/2023,10.668
S644,2/24/2023,7.112
S633,2/24/2023,7.366
S643,2/24/2023,6.858
S642,2/24/2023,11.43
S632,2/24/2023,6.096
S622,2/27/2023,4.318
S631,2/27/2023,4.572
S621,2/27/2023,6.35
S611,2/27/2023,5.334
S612,2/27/2023,10.922
S623,2/27/2023,10.922
S634,2/27/2023,8.128
S220,3/9/2023,9.144
S215,3/9/2023,4.572
S205,3/9/2023,8.382
S204,3/9/2023,8.128
S203,3/9/2023,6.35
S202,3/9/2023,7.874
S201,3/9/2023,10.16
S200,3/9/2023,9.906
S211,3/9/2023,11.684
S221,3/9/2023,8.636
S212,3/9/2023,2.794
S222,3/9/2023,10.16
S232,3/9/2023,10.922
S233,3/9/2023,8.89
S223,3/9/2023,7.112
S213,3/9/2023,8.128
S214,3/9/2023,9.906
S224,3/9/2023,11.43
S234,3/9/2023,10.922
S244,3/9/2023,11.684
S243,3/9/2023,9.398
S254,3/9/2023,7.112
S255,3/9/2023,9.144
S245,3/9/2023,6.35
S246,3/9/2023,8.128
S236,3/9/2023,11.43
S226,3/9/2023,9.398
S225,3/9/2023,9.652
S235,3/9/2023,14.732
S601,3/9/2023,5.842
S602,3/9/2023,8.636
S603,3/9/2023,5.334
S613,3/9/2023,9.398
S614,3/9/2023,6.096
S624,3/9/2023,7.874
S625,3/9/2023,10.16
S635,3/9/2023,8.89
S636,3/9/2023,7.874
S646,3/9/2023,7.112
S645,3/9/2023,7.874
S655,3/9/2023,9.906
S654,3/9/2023,7.112
S644,3/9/2023,9.398
S633,3/9/2023,6.096
S643,3/9/2023,5.08
S642,3/9/2023,6.858
S632,3/9/2023,4.572
S622,3/9/2023,5.842
S631,3/9/2023,1.778
S621,3/9/2023,6.35
S611,3/9/2023,9.652
S612,3/9/2023,11.938
S623,3/9/2023,11.176
S634,3/9/2023,12.954
S220,3/17/2023,13.208
S215,3/17/2023,16.51
S205,3/17/2023,12.954
S204,3/17/2023,8.89
S203,3/17/2023,5.588
S202,3/17/2023,8.89
S201,3/17/2023,10.668
S200,3/17/2023,13.716
S211,3/17/2023,15.494
S221,3/17/2023,11.176
S212,3/17/2023,11.43
S222,3/17/2023,14.478
S232,3/17/2023,9.398
S233,3/17/2023,12.954
S223,3/17/2023,10.414
S213,3/17/2023,3.81
S214,3/17/2023,14.224
S224,3/17/2023,11.684
S234,3/17/2023,13.97
S244,3/17/2023,14.224
S243,3/17/2023,12.954
S254,3/17/2023,16.002
S255,3/17/2023,12.192
S245,3/17/2023,11.938
S246,3/17/2023,11.938
S236,3/17/2023,12.7
S226,3/17/2023,11.938
S225,3/17/2023,13.716
S235,3/17/2023,15.24
S601,3/17/2023,6.096
S602,3/17/2023,9.906
S603,3/17/2023,7.112
S613,3/17/2023,11.684
S614,3/17/2023,6.858
S624,3/17/2023,9.398
S625,3/17/2023,5.334
