"Label","Class","Stake","Horizon","Start.Depth..cm.","End.Depth..cm.","Structure","Consistency","Mottled","X.Clay","X.Silt","X.Sand","Watershed"
"S214-2","SaLo","S214","AE",4,12,"granular","friable","",12.87128713,21.12211221,66.00660066,2
"S214-3","SaLo","S214","BE",12,20,"single/granular","loose/friable","",13.86138614,22.44224422,63.69636964,2
"S214-4","SaLo","S214","B1",20,39,"single/granular","loose/friable","",13.86138614,14.52145215,71.61716172,2
"S214-5","SaLo","S214","B2",39,60,"single/granular","loose/friable","",11.88118812,6.270627063,81.84818482,2
"S214-6","SaLo","S214","BC",6,86,"granular/blocky","friable/firm","",19.8019802,10.89108911,69.30693069,2
"S214-7","SaClLo","S214","CB",86,100,"blocky","firm","",29.7029703,14.78547855,55.51155116,2
"S215-1","Lo","S215","A",0,9,"granular","friable","",15.84158416,44.15841584,40,2
"S215-2","Lo","S215","AB",9,15,"single/granular","loose/friable","",17.82178218,42.83828383,39.33993399,2
"S215-3","Lo","S215","B1",15,23,"single/granular","loose/friable","",21.78217822,33.92739274,44.29042904,2
"S215-4","ClLo","S215","B2",23,28,"single/granular","loose/friable","",27.72277228,29.9669967,42.31023102,2
"S215-5","Cl","S215","BC",28,42,"granular/blocky","firm","",46.53465347,16.83168317,36.63366337,2
"S215-6","Cl","S215","CB",42,51,"blocky","firm","",43.56435644,15.84158416,40.59405941,2
"S215-7","Cl","S215","C",51,100,"blocky","firm","",43.56435644,17.16171617,39.27392739,2
"S220-1","SaLo","S220","A",1,15,"granular","friable","",11.28712871,17.42574257,71.28712871,2
"S220-2","SaLo","S220","AB",15,31,"granular","friable","",12.27722772,15.44554455,72.27722772,2
"S220-3","SaLo","S220","B1",31,43,"granular","friable","",12.27722772,13.46534653,74.25742574,2
"S220-4","SaLo","S220","B2",43,53,"granular","friable","",10.69306931,9.108910891,80.1980198,2
"S220-5","LoSa","S220","BC",53,72,"granular","friable","",11.88118812,3.564356436,84.55445545,2
"S220-6","SaClLo","S220","CB",72,100,"blocky","firm","",34.45544554,16.03960396,49.5049505,2
"S226-1","SaLo","S226","A",0,8,"granular","friable","",12.67326733,23.76237624,63.56435644,2
