,time,northing,easting,depths,zones,stakes,aspect,slope,watershed
0,2022-12-02,464644.0,5262240.0,,,,,,S6
1,2022-12-02,464644.0,5262449.0,5.5,Upland,S655,259.7763,6.629145,S6
2,2022-12-02,464644.0,5262658.0,8.0,Upland,S654,350.3666,1.924451,S6
3,2022-12-02,464644.0,5262867.0,,,,,,S6
4,2022-12-02,464644.0,5263076.0,,,,,,S6
5,2022-12-02,464644.0,5263285.0,,,,,,S6
6,2022-12-02,464582.2,5262240.0,0.0,Upland,S646,166.1192,3.132299,S6
7,2022-12-02,464582.2,5262449.0,3.0,Bog,S645,154.9844,0.592828,S6
8,2022-12-02,464582.2,5262658.0,0.0,Upland,S644,226.2777,13.37794,S6
9,2022-12-02,464582.2,5262867.0,5.0,Upland,S643,203.7467,2.9316,S6
10,2022-12-02,464582.2,5263076.0,5.0,Upland,S642,188.4725,1.701028,S6
11,2022-12-02,464582.2,5263285.0,,,,,,S6
12,2022-12-02,464520.4,5262240.0,0.0,Upland,S636,284.0857,9.7621,S6
13,2022-12-02,464520.4,5262449.0,7.5,Lagg,S635,23.90763,21.69698,S6
14,2022-12-02,464520.4,5262658.0,15.0,Bog,S634,81.84194,0.253367,S6
15,2022-12-02,464520.4,5262867.0,0.0,Lagg,S633,214.6792,16.22974,S6
16,2022-12-02,464520.4,5263076.0,0.0,Upland,S632,250.6175,4.093031,S6
17,2022-12-02,464520.4,5263285.0,0.0,Upland,S631,264.7998,1.186282,S6
18,2022-12-02,464458.6,5262240.0,,,,,,S6
19,2022-12-02,464458.6,5262449.0,2.0,Upland,S625,149.6178,1.203789,S6
20,2022-12-02,464458.6,5262658.0,6.0,Lagg,S624,51.39898,25.4478,S6
21,2022-12-02,464458.6,5262867.0,10.0,Bog,S623,348.6811,0.547875,S6
22,2022-12-02,464458.6,5263076.0,0.0,Lagg,S622,215.5392,4.916601,S6
23,2022-12-02,464458.6,5263285.0,0.0,Upland,S621,210.6501,6.712477,S6
24,2022-12-02,464396.8,5262240.0,,,,,,S6
25,2022-12-02,464396.8,5262449.0,,,,,,S6
26,2022-12-02,464396.8,5262658.0,0.0,Upland,S614,84.29677,1.439196,S6
27,2022-12-02,464396.8,5262867.0,9.5,Lagg,S613,37.4997,19.39961,S6
28,2022-12-02,464396.8,5263076.0,11.0,Bog,S612,161.5534,0.339843,S6
29,2022-12-02,464396.8,5263285.0,0.0,Lagg,S611,84.30152,0.71976,S6
30,2022-12-02,464335.0,5262240.0,,,,,,S6
31,2022-12-02,464335.0,5262449.0,,,,,,S6
32,2022-12-02,464335.0,5262658.0,,,,,,S6
33,2022-12-02,464335.0,5262867.0,0.0,Upland,S603,100.015,0.618323,S6
34,2022-12-02,464335.0,5263076.0,0.0,Upland,S602,13.71132,10.60362,S6
35,2022-12-02,464335.0,5263285.0,0.0,Upland,S601,356.9422,4.687178,S6
36,2022-12-30,464644.0,5262240.0,,,,,,S6
37,2022-12-30,464644.0,5262449.0,31.0,Upland,S655,259.7763,6.629145,S6
38,2022-12-30,464644.0,5262658.0,38.0,Upland,S654,350.3666,1.924451,S6
39,2022-12-30,464644.0,5262867.0,,,,,,S6
40,2022-12-30,464644.0,5263076.0,,,,,,S6
41,2022-12-30,464644.0,5263285.0,,,,,,S6
42,2022-12-30,464582.2,5262240.0,28.0,Upland,S646,166.1192,3.132299,S6
43,2022-12-30,464582.2,5262449.0,33.0,Bog,S645,154.9844,0.592828,S6
44,2022-12-30,464582.2,5262658.0,28.0,Upland,S644,226.2777,13.37794,S6
45,2022-12-30,464582.2,5262867.0,24.0,Upland,S643,203.7467,2.9316,S6
46,2022-12-30,464582.2,5263076.0,35.0,Upland,S642,188.4725,1.701028,S6
47,2022-12-30,464582.2,5263285.0,,,,,,S6
48,2022-12-30,464520.4,5262240.0,32.0,Upland,S636,284.0857,9.7621,S6
49,2022-12-30,464520.4,5262449.0,39.0,Lagg,S635,23.90763,21.69698,S6
50,2022-12-30,464520.4,5262658.0,34.0,Bog,S634,81.84194,0.253367,S6
51,2022-12-30,464520.4,5262867.0,21.0,Lagg,S633,214.6792,16.22974,S6
52,2022-12-30,464520.4,5263076.0,19.0,Upland,S632,250.6175,4.093031,S6
53,2022-12-30,464520.4,5263285.0,18.0,Upland,S631,264.7998,1.186282,S6
