CATCHMENT,LOCATION,TYPE,LONGITUDE,LATITUDE,SLOPE,ASPECT,NORTHING,EASTING
S2,S2S_UP,upland,-93.46883492,47.51311699,13,342,5262294.01,464699.26
S2,S2S_LO,upland,-93.46885051,47.513268,10,356,5262310.80,464698.19
S2,S2S_MI,upland,-93.46884921,47.51321103,10,353,5262304.47,464698.25
S2,S2N_LO,upland,-93.46826127,47.51442974,9,188,5262439.65,464743.34
S2,S2N_MI,upland,-93.46822435,47.51448632,9,189,5262445.92,464746.15
S2,S2N_UP,upland,-93.46819259,47.51453109,14,189,5262450.88,464748.58
