"Watershed","SnowcourseID","Date","Point","SnowDEPTH","SWE"
"JUNCTION","JUNC",1987-02-19,2,24,2
"JUNCTION","JUNC",1987-02-19,3,25,5
"JUNCTION","JUNC",1987-02-19,4,30,6
"JUNCTION","JUNC",1987-02-19,5,29,6
"JUNCTION","JUNC",1987-02-19,6,30,6
"JUNCTION","JUNC",1987-02-19,7,33,5
"JUNCTION","JUNC",1987-02-19,8,25,3
"JUNCTION","JUNC",1987-02-19,9,24,5
"JUNCTION","JUNC",1987-02-19,10,28,4
"JUNCTION","JUNC",1987-03-05,1,28,6
"JUNCTION","JUNC",1987-03-05,2,34,8
"JUNCTION","JUNC",1987-03-05,3,20,5
"JUNCTION","JUNC",1987-03-05,4,27,6
"JUNCTION","JUNC",1987-03-05,5,24,4
"JUNCTION","JUNC",1987-03-05,6,29,6
"JUNCTION","JUNC",1987-03-05,7,25,6
"JUNCTION","JUNC",1987-03-05,8,22,5
"JUNCTION","JUNC",1987-03-05,9,23,6
"JUNCTION","JUNC",1987-03-05,10,33,7
"JUNCTION","JUNC",1987-03-19,1,0,0
"JUNCTION","JUNC",1987-03-19,2,0,0
"JUNCTION","JUNC",1987-03-19,3,0,0
"JUNCTION","JUNC",1987-03-19,4,0,0
"JUNCTION","JUNC",1987-03-19,5,0,0
"JUNCTION","JUNC",1987-03-19,6,0,0
"JUNCTION","JUNC",1987-03-19,7,0,0
"JUNCTION","JUNC",1987-03-19,8,0,0
"JUNCTION","JUNC",1987-03-19,9,0,0
"JUNCTION","JUNC",1987-03-19,10,0,0
"JUNCTION","JUNC",1988-02-19,1,39,7
"JUNCTION","JUNC",1988-02-19,2,46,9
"JUNCTION","JUNC",1988-02-19,3,28,4
"JUNCTION","JUNC",1988-02-19,4,41,8
"JUNCTION","JUNC",1988-02-19,5,28,4
"JUNCTION","JUNC",1988-02-19,6,42,9
"JUNCTION","JUNC",1988-02-19,7,34,6
"JUNCTION","JUNC",1988-02-19,8,32,5
"JUNCTION","JUNC",1988-02-19,9,37,6
"JUNCTION","JUNC",1988-02-19,10,39,7
"JUNCTION","JUNC",1988-03-03,1,34,6
"JUNCTION","JUNC",1988-03-03,2,39,8
"JUNCTION","JUNC",1988-03-03,3,32,7
"JUNCTION","JUNC",1988-03-03,4,34,7
"JUNCTION","JUNC",1988-03-03,5,33,5
"JUNCTION","JUNC",1988-03-03,6,36,7
"JUNCTION","JUNC",1988-03-03,7,28,5
"JUNCTION","JUNC",1988-03-03,8,28,6
"JUNCTION","JUNC",1988-03-03,9,33,6
"JUNCTION","JUNC",1988-03-03,10,32,6
"JUNCTION","JUNC",1988-03-17,1,44,11
"JUNCTION","JUNC",1988-03-17,2,43,10
"JUNCTION","JUNC",1988-03-17,3,28,6
"JUNCTION","JUNC",1988-03-17,4,42,10
"JUNCTION","JUNC",1988-03-17,5,43,11
"JUNCTION","JUNC",1988-03-17,6,43,12
"JUNCTION","JUNC",1988-03-17,7,41,9
"JUNCTION","JUNC",1988-03-17,8,42,10
"JUNCTION","JUNC",1988-03-17,9,43,12
"JUNCTION","JUNC",1988-03-17,10,43,11
"JUNCTION","JUNC",1988-03-30,1,36,10
"JUNCTION","JUNC",1988-03-30,2,36,11
"JUNCTION","JUNC",1988-03-30,3,28,8
"JUNCTION","JUNC",1988-03-30,4,36,10
"JUNCTION","JUNC",1988-03-30,5,33,10
"JUNCTION","JUNC",1988-03-30,6,33,11
"JUNCTION","JUNC",1988-03-30,7,33,11
"JUNCTION","JUNC",1988-03-30,8,27,7
"JUNCTION","JUNC",1988-03-30,9,36,12
"JUNCTION","JUNC",1988-03-30,10,30,10
"JUNCTION","JUNC",1988-04-14,1,0,0
"JUNCTION","JUNC",1988-04-14,2,0,0
"JUNCTION","JUNC",1988-04-14,3,0,0
"JUNCTION","JUNC",1988-04-14,4,0,0
"JUNCTION","JUNC",1988-04-14,5,0,0
"JUNCTION","JUNC",1988-04-14,6,0,0
"JUNCTION","JUNC",1988-04-14,7,0,0
"JUNCTION","JUNC",1988-04-14,8,0,0
"JUNCTION","JUNC",1988-04-14,9,0,0
"JUNCTION","JUNC",1988-04-14,10,0,0
"JUNCTION","JUNC",1989-02-23,1,52,13
"JUNCTION","JUNC",1989-02-23,2,58,14
"JUNCTION","JUNC",1989-02-23,3,48,12
"JUNCTION","JUNC",1989-02-23,4,51,13
"JUNCTION","JUNC",1989-02-23,5,52,13
"JUNCTION","JUNC",1989-02-23,6,57,14
"JUNCTION","JUNC",1989-02-23,7,57,14
"JUNCTION","JUNC",1989-02-23,8,51,12
"JUNCTION","JUNC",1989-02-23,9,48,12
"JUNCTION","JUNC",1989-02-23,10,47,11
"JUNCTION","JUNC",1989-03-08,1,61,13
"JUNCTION","JUNC",1989-03-08,2,57,12
"JUNCTION","JUNC",1989-03-08,3,53,12
"JUNCTION","JUNC",1989-03-08,4,56,12
"JUNCTION","JUNC",1989-03-08,5,57,13
"JUNCTION","JUNC",1989-03-08,6,62,13
"JUNCTION","JUNC",1989-03-08,7,56,12
"JUNCTION","JUNC",1989-03-08,8,56,12
"JUNCTION","JUNC",1989-03-08,9,53,12
"JUNCTION","JUNC",1989-03-08,10,52,11
"JUNCTION","JUNC",1989-03-23,1,55,13
"JUNCTION","JUNC",1989-03-23,2,58,15
"JUNCTION","JUNC",1989-03-23,3,50,13
"JUNCTION","JUNC",1989-03-23,4,52,14
"JUNCTION","JUNC",1989-03-23,5,55,14
"JUNCTION","JUNC",1989-03-23,6,57,15
"JUNCTION","JUNC",1989-03-23,7,56,14
"JUNCTION","JUNC",1989-03-23,8,50,13
"JUNCTION","JUNC",1989-03-23,9,50,12
"JUNCTION","JUNC",1989-03-23,10,48,13
"JUNCTION","JUNC",1989-04-06,1,18,8
"JUNCTION","JUNC",1989-04-06,2,18,8
"JUNCTION","JUNC",1989-04-06,3,13,7
"JUNCTION","JUNC",1989-04-06,4,6,3
"JUNCTION","JUNC",1989-04-06,5,17,7
"JUNCTION","JUNC",1989-04-06,6,20,8
"JUNCTION","JUNC",1989-04-06,7,20,8
"JUNCTION","JUNC",1989-04-06,8,9,3
"JUNCTION","JUNC",1989-04-06,9,0,0
"JUNCTION","JUNC",1989-04-06,10,6,3
"JUNCTION","JUNC",1989-04-20,1,0,0
"JUNCTION","JUNC",1989-04-20,2,0,0
"JUNCTION","JUNC",1989-04-20,3,0,0
"JUNCTION","JUNC",1989-04-20,4,0,0
"JUNCTION","JUNC",1989-04-20,5,0,0
"JUNCTION","JUNC",1989-04-20,6,0,0
"JUNCTION","JUNC",1989-04-20,7,0,0
"JUNCTION","JUNC",1989-04-20,8,0,0
"JUNCTION","JUNC",1989-04-20,9,0,0
"JUNCTION","JUNC",1989-04-20,10,0,0
"JUNCTION","JUNC",1990-03-01,1,39,7
"JUNCTION","JUNC",1990-03-01,2,44,10
"JUNCTION","JUNC",1990-03-01,3,33,7
"JUNCTION","JUNC",1990-03-01,4,41,8
"JUNCTION","JUNC",1990-03-01,5,37,7
"JUNCTION","JUNC",1990-03-01,6,43,9
"JUNCTION","JUNC",1990-03-01,7,39,8
"JUNCTION","JUNC",1990-03-01,8,37,7
"JUNCTION","JUNC",1990-03-01,9,41,8
"JUNCTION","JUNC",1990-03-01,10,41,8
"JUNCTION","JUNC",1990-03-14,1,17,5
"JUNCTION","JUNC",1990-03-14,2,0,0
"JUNCTION","JUNC",1990-03-14,3,14,5
"JUNCTION","JUNC",1990-03-14,4,11,3
"JUNCTION","JUNC",1990-03-14,5,13,4
"JUNCTION","JUNC",1990-03-14,6,10,3
"JUNCTION","JUNC",1990-03-14,7,15,4
"JUNCTION","JUNC",1990-03-14,8,0,0
"JUNCTION","JUNC",1990-03-14,9,10,3
"JUNCTION","JUNC",1990-03-14,10,8,2
"JUNCTION","JUNC",1990-03-28,1,4,1
"JUNCTION","JUNC",1990-03-28,2,5,2
"JUNCTION","JUNC",1990-03-28,3,0,0
"JUNCTION","JUNC",1990-03-28,4,0,0
"JUNCTION","JUNC",1990-03-28,5,0,0
"JUNCTION","JUNC",1990-03-28,6,5,3
"JUNCTION","JUNC",1990-03-28,7,0,0
"JUNCTION","JUNC",1990-03-28,8,0,0
"JUNCTION","JUNC",1990-03-28,9,0,0
"JUNCTION","JUNC",1990-03-28,10,0,0
"JUNCTION","JUNC",1991-02-27,1,41,7
"JUNCTION","JUNC",1991-02-27,2,28,4
"JUNCTION","JUNC",1991-02-27,3,33,7
"JUNCTION","JUNC",1991-02-27,4,33,6
"JUNCTION","JUNC",1991-02-27,5,46,9
"JUNCTION","JUNC",1991-02-27,6,38,6
"JUNCTION","JUNC",1991-02-27,7,36,9
"JUNCTION","JUNC",1991-02-27,8,38,5
"JUNCTION","JUNC",1991-02-27,9,38,7
"JUNCTION","JUNC",1991-02-27,10,30,5
"JUNCTION","JUNC",1991-03-13,1,33,8
"JUNCTION","JUNC",1991-03-13,2,48,11
"JUNCTION","JUNC",1991-03-13,3,30,6
"JUNCTION","JUNC",1991-03-13,4,41,7
"JUNCTION","JUNC",1991-03-13,5,33,7
"JUNCTION","JUNC",1991-03-13,6,43,11
"JUNCTION","JUNC",1991-03-13,7,33,7
"JUNCTION","JUNC",1991-03-13,8,27,6
"JUNCTION","JUNC",1991-03-13,9,28,5
"JUNCTION","JUNC",1991-03-13,10,42,6
"JUNCTION","JUNC",1991-03-27,1,13,4
"JUNCTION","JUNC",1991-03-27,2,10,3
"JUNCTION","JUNC",1991-03-27,3,0,0
"JUNCTION","JUNC",1991-03-27,4,0,0
"JUNCTION","JUNC",1991-03-27,5,0,0
"JUNCTION","JUNC",1991-03-27,6,0,0
"JUNCTION","JUNC",1991-03-27,7,0,0
"JUNCTION","JUNC",1991-03-27,8,0,0
"JUNCTION","JUNC",1991-03-27,9,0,0
"JUNCTION","JUNC",1991-03-27,10,0,0
"JUNCTION","JUNC",1992-02-26,1,42,7
"JUNCTION","JUNC",1992-02-26,2,62,17
"JUNCTION","JUNC",1992-02-26,3,39,7
"JUNCTION","JUNC",1992-02-26,4,48,8
"JUNCTION","JUNC",1992-02-26,5,44,8
"JUNCTION","JUNC",1992-02-26,6,46,11
"JUNCTION","JUNC",1992-02-26,7,43,9
"JUNCTION","JUNC",1992-02-26,8,42,9
"JUNCTION","JUNC",1992-02-26,9,47,11
"JUNCTION","JUNC",1992-02-26,10,51,13
"JUNCTION","JUNC",1992-03-11,1,32,10
"JUNCTION","JUNC",1992-03-11,2,30,9
"JUNCTION","JUNC",1992-03-11,3,25,6
"JUNCTION","JUNC",1992-03-11,4,30,9
"JUNCTION","JUNC",1992-03-11,5,24,6
"JUNCTION","JUNC",1992-03-11,6,30,10
"JUNCTION","JUNC",1992-03-11,7,23,7
"JUNCTION","JUNC",1992-03-11,8,24,6
"JUNCTION","JUNC",1992-03-11,9,22,6
"JUNCTION","JUNC",1992-03-11,10,20,6
"JUNCTION","JUNC",1992-03-25,1,20,6
"JUNCTION","JUNC",1992-03-25,2,25,10
"JUNCTION","JUNC",1992-03-25,3,0,0
"JUNCTION","JUNC",1992-03-25,4,0,0
"JUNCTION","JUNC",1992-03-25,5,0,0
"JUNCTION","JUNC",1992-03-25,6,23,8
"JUNCTION","JUNC",1992-03-25,7,0,0
"JUNCTION","JUNC",1992-03-25,8,0,0
"JUNCTION","JUNC",1992-03-25,9,10,4
"JUNCTION","JUNC",1992-03-25,10,10,4
"JUNCTION","JUNC",1992-04-08,1,0,0
"JUNCTION","JUNC",1992-04-08,2,0,0
"JUNCTION","JUNC",1992-04-08,3,0,0
"JUNCTION","JUNC",1992-04-08,4,0,0
"JUNCTION","JUNC",1992-04-08,5,0,0
"JUNCTION","JUNC",1992-04-08,6,0,0
"JUNCTION","JUNC",1992-04-08,7,0,0
"JUNCTION","JUNC",1992-04-08,8,0,0
"JUNCTION","JUNC",1992-04-08,9,0,0
"JUNCTION","JUNC",1992-04-08,10,0,0
"JUNCTION","JUNC",1993-02-25,1,53,12
"JUNCTION","JUNC",1993-02-25,2,48,10
"JUNCTION","JUNC",1993-02-25,3,42,9
"JUNCTION","JUNC",1993-02-25,4,48,10
"JUNCTION","JUNC",1993-02-25,5,53,12
"JUNCTION","JUNC",1993-02-25,6,51,11
"JUNCTION","JUNC",1993-02-25,7,48,10
"JUNCTION","JUNC",1993-02-25,8,43,9
"JUNCTION","JUNC",1993-02-25,9,60,12
"JUNCTION","JUNC",1993-02-25,10,53,11
"JUNCTION","JUNC",1993-03-11,1,43,11
"JUNCTION","JUNC",1993-03-11,2,43,10
"JUNCTION","JUNC",1993-03-11,3,32,7
