User Field 1                  ;User Field 2                  ;User Field 3                  ;% Sky Area    ;% Mask Area   ;% Cnpy Open   ;% Site Open   ;LAI 4Ring     ;LAI 5Ring     ;Units         ;RB            ;RD            ;Extra         ;Abv Dir       ;Abv Dif       ;Abv Tot       ;Abv Dir Msk   ;Abv Dif Msk   ;Abv Tot Msk   ;Trans Dir     ;Trans Dif     ;Trans Tot     ;% Trans Dir   ;% Trans Dif   ;% Trans Tot   ;Date          ;Time          ;
S00 (1)                      ;North                         ;Upland                        ;99.89         ;0.11          ;29.83         ;29.83         ;1.21          ;1.09          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;09:55:47 AM   ;
S00 (2)                      ;East                          ;Upland                        ;99.89         ;0.11          ;28.86         ;28.86         ;1.24          ;1.12          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:16:43 AM   ;
S00 (3)                      ;South                         ;Upland                        ;99.89         ;0.11          ;28.36         ;28.36         ;1.27          ;1.14          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:20:17 AM   ;
S00 (4)                      ;West                          ;Upland                        ;99.89         ;0.11          ;30.46         ;30.46         ;1.15          ;1.06          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:27:22 AM   ;
S01 (1)                      ;North                         ;Upland                        ;99.91         ;0.09          ;24.51         ;24.51         ;1.36          ;1.35          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:33:48 AM   ;
S01 (2)                      ;East                          ;Upland                        ;99.91         ;0.09          ;24.83         ;24.83         ;1.34          ;1.31          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:42:02 AM   ;
S01 (3)                      ;South                         ;Upland                        ;99.91         ;0.09          ;25.25         ;25.25         ;1.33          ;1.31          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:47:00 AM   ;
S01 (4)                      ;West                          ;Upland                        ;99.91         ;0.09          ;24.14         ;24.14         ;1.38          ;1.36          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:51:47 AM   ;
S02 (1)                      ;North                         ;Upland                        ;99.91         ;0.09          ;18.46         ;18.46         ;1.88          ;1.65          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;10:57:55 AM   ;
S02 (2)                      ;East                          ;Upland                        ;99.91         ;0.09          ;18            ;18            ;1.98          ;1.71          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:03:53 AM   ;
S02 (3)                      ;South                         ;Upland                        ;99.91         ;0.09          ;17.13         ;17.13         ;2.09          ;1.78          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:07:32 AM   ;
S02 (4)                      ;West                          ;Upland                        ;99.91         ;0.09          ;19.91         ;19.91         ;1.84          ;1.59          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:14:54 AM   ;
S03 (1)                      ;North                         ;Upland                        ;99.91         ;0.09          ;17.95         ;17.95         ;1.68          ;1.82          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:18:41 AM   ;
S03 (2)                      ;East                          ;Upland                        ;99.91         ;0.09          ;15.82         ;15.82         ;1.84          ;2             ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:23:50 AM   ;
S03 (3)                      ;South                         ;Upland                        ;99.91         ;0.09          ;15.65         ;15.65         ;1.92          ;2.01          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:34:39 AM   ;
S03 (4)                      ;West                          ;Upland                        ;99.91         ;0.09          ;17.73         ;17.73         ;1.64          ;1.86          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Oct 14 2022   ;11:40:31 AM   ;
